heading,date,link,Date_Appended
SOUTH WINDSOR SCOOP: New tenants coming soon to The Shops at Evergreen Walk,2026-05-22,https://www.theconnecticutscoop.com/all-hartford-county-posts/south-windsor-scoop-new-tenants-coming-soon-to-the-shops-at-evergreen-walk,2026-05-24
NEW BRITAIN SCOOP: Guida's Dairy to close New Britain plant,2026-05-22,https://www.theconnecticutscoop.com/all-hartford-county-posts/new-britain-scoop-guidas-dairy-to-close-new-britain-plant,2026-05-24
MOHEGAN SUN SCOOP: Bobby's Burgers celebrates ribbon cutting!,2026-05-22,https://www.theconnecticutscoop.com/all-new-london-county-posts/mohegan-sun-scoop-bobbys-burgers-celebrates-ribbon-cutting,2026-05-24
EAST HARTFORD SCOOP: Site work underway for new mixed-use building,2026-05-22,https://www.theconnecticutscoop.com/all-hartford-county-posts/east-hartford-scoop-site-work-underway-for-new-mixed-use-building,2026-05-24
ANSONIA SCOOP: New tenants coming to old Big Y space in Ansonia,2026-05-21,https://www.theconnecticutscoop.com/all-fairfield-county-posts/ansonia-scoop-new-tenants-coming-to-old-big-y-space-in-ansonia,2026-05-22
ROCKY HILL SCOOP: On The Border permanently closing on 05/21,2026-05-21,https://www.theconnecticutscoop.com/all-hartford-county-posts/rocky-hill-scoop-on-the-border-permanently-closing-on-0521,2026-05-22
ELLINGTON SCOOP: AutoZone eyeing Ellington location,2026-05-21,https://www.theconnecticutscoop.com/all-tolland-county-posts/ellington-scoop-autozone-eyeing-ellington-location,2026-05-22
VERNON SCOOP: Vernon Coffee Roasters opens new expansion with large dining room and theme!,2026-05-21,https://www.theconnecticutscoop.com/all-tolland-county-posts/vernon-scoop-vernon-coffee-roasters-opens-new-expansion-with-large-dining-room-and-theme,2026-05-22
WEST SPRINGFIELD SCOOP: Yemerica bringing Yemeni coffee to West Springfield!,2026-05-14,https://www.theconnecticutscoop.com/all-mass-posts/west-springfield-scoop-yemerica-bringing-yemeni-coffee-to-west-springfield,2026-05-14
STORRS SCOOP: Chipotle Mexican Grill planned for Storrs Center,2026-05-14,https://www.theconnecticutscoop.com/all-tolland-county-posts/storrs-scoop-chipotle-mexican-grill-planned-for-storrs-center,2026-05-14
WEST HARTFORD SCOOP: Xtrait Perfumery brings niche fragrance boutique to West Hartford Center,2026-05-14,https://www.theconnecticutscoop.com/all-hartford-county-posts/west-hartford-scoop-xtrait-perfumery-brings-niche-fragrance-boutique-to-west-hartford-center,2026-05-15
HARTFORD SCOOP: New Ice Cream & Coffee Shop coming to State House Square,2026-05-14,https://www.theconnecticutscoop.com/all-hartford-county-posts/hartford-scoop-new-ice-cream-coffee-shop-coming-to-state-house-square,2026-05-14
NORWALK SCOOP: New bagel shop from award-winning team opens in Norwalk!,2026-05-14,https://www.theconnecticutscoop.com/all-fairfield-county-posts/norwalk-scoop-new-bagel-shop-from-award-winning-team-opens-in-norwalk,2026-05-15
BRANFORD SCOOP: Home Restaurant closing in Branford after 14 years,2026-05-14,https://www.theconnecticutscoop.com/all-new-haven-county-posts/branford-scoop-home-restaurant-closing-in-branford-after-14-years,2026-05-14
NORWALK SCOOP: Work progressing on Sally's Apizza despite lawsuit,2026-05-14,https://www.theconnecticutscoop.com/all-fairfield-county-posts/norwalk-scoop-work-progressing-on-sallys-apizza-despite-lawsuit,2026-05-15
MANCHESTER SCOOP: Joey'z Shopping Spree closing in Manchester,2026-05-14,https://www.theconnecticutscoop.com/all-hartford-county-posts/manchester-scoop-joeyz-shopping-spree-closing-in-manchester,2026-05-15
MONROE SCOOP: Bagel City celebrates its opening in Monroe,2026-05-14,https://www.theconnecticutscoop.com/all-fairfield-county-posts/monroe-scoop-bagel-city-celebrates-its-opening-in-monroe,2026-05-15
WEST HARTFORD SCOOP: More changes coming to Westfarms including new chocolate shop!,2026-05-14,https://www.theconnecticutscoop.com/all-hartford-county-posts/west-hartford-scoop-more-changes-coming-to-westfarms-including-new-chocolate-shop,2026-05-15
EAST HARTFORD SCOOP: The Plourd Brewery opens in East Hartford,2026-05-14,https://www.theconnecticutscoop.com/all-hartford-county-posts/east-hartford-scoop-the-plourd-brewery-opens-in-east-hartford,2026-05-15
NORTH HAVEN SCOOP: 7 Brew sets opening date!,2026-05-13,https://www.theconnecticutscoop.com/all-new-haven-county-posts/north-haven-scoop-7-brew-sets-opening-date,2026-05-14
MANCHESTER SCOOP: Moran Restaurant reopens under new owners,2026-05-13,https://www.theconnecticutscoop.com/all-hartford-county-posts/manchester-scoop-moran-restaurant-reopens-under-new-owners,2026-05-14
LEDYARD SCOOP: Two Trees Inn reopens near Foxwoods,2026-05-13,https://www.theconnecticutscoop.com/all-new-london-county-posts/ledyard-scoop-two-trees-inn-reopens-near-foxwoods,2026-05-14
ORANGE SCOOP: The Wok Chinese Kitchen coming to former Five Guys space,2026-05-13,https://www.theconnecticutscoop.com/all-new-haven-county-posts/orange-scoop-the-wok-chinese-kitchen-coming-to-former-five-guys-space,2026-05-14
MERIDEN SCOOP: Furnish Cheap by Universal Hotel Liquidators opens at Meriden Mall,2026-05-12,https://www.theconnecticutscoop.com/all-new-haven-county-posts/meriden-scoop-furnish-cheap-by-universal-hotel-liquidators-opens-at-meriden-mall,2026-05-14
ELLINGTON SCOOP: Review of Wen Ming House's new AYCE menu,2026-05-12,https://www.theconnecticutscoop.com/all-tolland-county-posts/ellington-scoop-review-of-wen-ming-houses-new-ayce-menu,2026-05-14
CROMWELL SCOOP: Wingstop coming to Cromwell,2026-05-12,https://www.theconnecticutscoop.com/all-middlesex-county-posts/cromwell-scoop-wingstop-coming-to-cromwell,2026-05-12
SOUTH WINDSOR SCOOP: New pottery studio opening later this month!,2026-05-12,https://www.theconnecticutscoop.com/all-hartford-county-posts/south-windsor-scoop-new-pottery-studio-opening-later-this-month,2026-05-12
NEWINGTON SCOOP: Large-scale development eyed in Newington,2026-05-12,https://www.theconnecticutscoop.com/all-hartford-county-posts/newington-scoop-large-scale-development-eyed-in-newington,2026-05-12
DANBURY SCOOP: Paris Baguette coming soon to Danbury Fair,2026-05-12,https://www.theconnecticutscoop.com/all-fairfield-county-posts/danbury-scoop-paris-baguette-coming-soon-to-danbury-fair,2026-05-12
FOXWOODS SCOOP: Hell's Kitchen back for 2 more seasons!,2026-05-11,https://www.theconnecticutscoop.com/all-new-london-county-posts/foxwoods-scoop-hells-kitchen-back-for-2-more-seasons,2026-05-11
WATERBURY SCOOP: Soft Serve Factory replaces Carvel in Waterbury!,2026-05-11,https://www.theconnecticutscoop.com/all-new-haven-county-posts/waterbury-scoop-soft-serve-factory-replaces-carvel-in-waterbury,2026-05-11
STORRS SCOOP: Monmouth Trading Cards coming soon to Storrs Center,2026-05-11,https://www.theconnecticutscoop.com/all-tolland-county-posts/storrs-scoop-monmouth-trading-cards-coming-soon-to-storrs-center,2026-05-11
MERIDEN SCOOP: Don Cola'o Panaderia opens in Meriden,2026-05-10,https://www.theconnecticutscoop.com/all-new-haven-county-posts/meriden-scoop-don-colao-panaderia-opens-in-meriden,2026-05-11
BRANFORD SCOOP: O'Reilly Auto Parts eyeing Branford location,2026-05-10,https://www.theconnecticutscoop.com/all-new-haven-county-posts/branford-scoop-oreilly-auto-parts-eyeing-branford-location,2026-05-11
WEST HARTFORD SCOOP: Frisbie's Dairy Barn officially opens in WeHa!,2026-05-10,https://www.theconnecticutscoop.com/all-hartford-county-posts/west-hartford-scoop-frisbies-dairy-barn-officially-opens-in-weha,2026-05-11
MANCHESTER SCOOP: Nothing Bundt Cakes planning Manchester location!,2026-05-10,https://www.theconnecticutscoop.com/all-hartford-county-posts/manchester-scoop-nothing-bundt-cakes-planning-manchester-location,2026-05-11
EAST LYME SCOOP: Mystic Market sets opening date!,2026-05-10,https://www.theconnecticutscoop.com/all-new-london-county-posts/east-lyme-scoop-mystic-market-sets-opening-date,2026-05-11
PUTNAM SCOOP: New Candle Shop coming soon to Putnam,2026-05-10,https://www.theconnecticutscoop.com/all-windham-county-posts/putnam-scoop-new-candle-shop-coming-soon-to-putnam,2026-05-11
MOHEGAN SUN SCOOP: Take a look at the new Bobby's Burgers!,2026-05-10,https://www.theconnecticutscoop.com/all-new-london-county-posts/mohegan-sun-scoop-take-a-look-at-the-new-bobbys-burgers,2026-05-11
CANTON SCOOP: The Frosted Sheep Bake Shop opens in Canton,2026-05-10,https://www.theconnecticutscoop.com/all-hartford-county-posts/canton-scoop-the-frosted-sheep-bake-shop-opens-in-canton,2026-05-11
FOXWOODS SCOOP: New tenants are popping up at Tanger Outlets,2026-05-10,https://www.theconnecticutscoop.com/all-new-london-county-posts/foxwoods-scoop-new-tenants-are-popping-up-at-tanger-outlets,2026-05-11
ORANGE SCOOP: Yemerica Coffee bringing new coffee shop to Orange,2026-05-08,https://www.theconnecticutscoop.com/all-new-haven-county-posts/orange-scoop-yemerica-coffee-bringing-new-coffee-shop-to-orange,2026-05-10
MERIDEN SCOOP: Don Cola'o Panaderia opens in Meriden,2026-05-08,https://www.theconnecticutscoop.com/all-hartford-county-posts/meriden-scoop-don-colao-panaderia-opens-in-meriden,2026-05-10
MANCHESTER SCOOP: Town approves purchase of Concordia Church for new senior center!,2026-05-08,https://www.theconnecticutscoop.com/all-hartford-county-posts/manchester-scoop-town-approves-purchase-of-concordia-church-for-new-senior-center,2026-05-10
EAST HAVEN SCOOP: La Placita Market eyeing former Rite Aid for new supermarket!,2026-05-07,https://www.theconnecticutscoop.com/all-new-haven-county-posts/east-haven-scoop-la-placita-market-eyeing-former-rite-aid-for-new-supermarket,2026-05-08
FOXBOROUGH SCOOP: New kid's entertainment center coming to Patriot Place!,2026-05-07,https://www.theconnecticutscoop.com/all-mass-posts/foxborough-scoop-new-kids-entertainment-center-coming-to-patriot-place,2026-05-07
BRIDGEPORT SCOOP: Juici Patties bring first CT location in Bridgeport,2026-05-07,https://www.theconnecticutscoop.com/all-fairfield-county-posts/bridgeport-scoop-juici-patties-bring-first-ct-location-in-bridgeport,2026-05-07
MILFORD SCOOP: New coffee shop coming to former Subway space,2026-05-07,https://www.theconnecticutscoop.com/all-new-haven-county-posts/milford-scoop-new-coffee-shop-coming-to-former-subway-space,2026-05-07
HOLYOKE SCOOP:  Chick-Fil-A comes to Holyoke Mall!,2026-05-07,https://www.theconnecticutscoop.com/all-mass-posts/holyoke-scoop-chick-fil-a-comes-to-holyoke-mall,2026-05-07
MANCHESTER SCOOP: 2nd Bridge Soccer Pub & Brewery reopens after renovations!,2026-05-07,https://www.theconnecticutscoop.com/all-hartford-county-posts/manchester-scoop-2nd-bridge-soccer-pub-brewery-reopens-after-renovations,2026-05-07
GROTON SCOOP: TJ Maxx opens in new Groton location,2026-05-07,https://www.theconnecticutscoop.com/all-new-london-county-posts/groton-scoop-tj-maxx-opens-in-new-groton-location,2026-05-08
MANSFIELD SCOOP: Dad's Doughs closing Mansfield doughnut shop,2026-05-06,https://www.theconnecticutscoop.com/all-tolland-county-posts/mansfield-scoop-dads-doughs-closing-mansfield-doughnut-shop,2026-05-06
CHESHIRE SCOOP: Seafood & Steakhosue coming to The Shops at Stone Bridge!,2026-05-06,https://www.theconnecticutscoop.com/all-new-haven-county-posts/cheshire-scoop-seafood-steakhosue-coming-to-the-shops-at-stone-bridge,2026-05-06
EAST LONGMEADOW SCOOP: Two new restaurants proposed in East Longmeadow!,2026-05-06,https://www.theconnecticutscoop.com/all-mass-posts/east-longmeadow-scoop-two-new-restaurants-proposed-in-east-longmeadow,2026-05-06
WEST HARTFORD SCOOP: New matcha & dessert shop coming to WeHa,2026-05-06,https://www.theconnecticutscoop.com/all-hartford-county-posts/west-hartford-scoop-new-matcha-dessert-shop-coming-to-weha,2026-05-06
"NEWINGTON SCOOP: Ross Dress for Less officially coming to Newington, Plaza receives new name!",2026-05-05,https://www.theconnecticutscoop.com/all-hartford-county-posts/newington-scoop-ross-dress-for-less-officially-coming-to-newington-plaza-receives-new-name,2026-05-06
MILFORD SCOOP: New tenants coming soon to Connecticut Post Mall!,2026-05-05,https://www.theconnecticutscoop.com/all-new-haven-county-posts/milford-scoop-new-tenants-coming-soon-to-connecticut-post-mall,2026-05-06
WATERBURY SCOOP: New restaurant coming soon to Chase Avenue,2026-05-05,https://www.theconnecticutscoop.com/all-new-haven-county-posts/waterbury-scoop-new-restaurant-coming-soon-to-chase-avenue,2026-05-06
NEW HAVEN SCOOP: Papa's Loca sets opening date in New Haven,2026-05-04,https://www.theconnecticutscoop.com/all-new-haven-county-posts/new-haven-scoop-papas-loca-sets-opening-date-in-new-haven,2026-05-04
WETHERSFIELD SCOOP: Ortigia Ristorante proposed in Historic Wethersfield!,2026-05-04,https://www.theconnecticutscoop.com/all-hartford-county-posts/wethersfield-scoop-ortigia-ristorante-proposed-in-historic-wethersfield,2026-05-04
NEW LONDON SCOOP: New speakeasy & restaurant with live entertainment planned in New London!,2026-05-04,https://www.theconnecticutscoop.com/all-new-london-county-posts/new-london-scoop-new-speakeasy-restaurant-with-live-entertainment-planned-in-new-london,2026-05-05
MANCHESTER SCOOP: ConnectiCare building up for lease ahead of closure,2026-05-04,https://www.theconnecticutscoop.com/all-hartford-county-posts/manchester-scoop-connecticare-building-up-for-lease-ahead-of-closure,2026-05-04
HARTFORD SCOOP: The Portrait at North Crossing is now leasing!,2026-05-04,https://www.theconnecticutscoop.com/all-hartford-county-posts/hartford-scoop-the-portrait-at-north-crossing-is-now-leasing,2026-05-04
HAMDEN SCOOP: Wonder coming soon to Hamden Plaza!,2026-05-03,https://www.theconnecticutscoop.com/all-new-haven-county-posts/hamden-scoop-wonder-coming-soon-to-hamden-plaza,2026-05-04
EAST HARTFORD SCOOP: Demolition begins ahead of large scale development,2026-05-03,https://www.theconnecticutscoop.com/all-hartford-county-posts/east-hartford-scoop-demolition-begins-ahead-of-large-scale-development,2026-05-04
COLCHESTER SCOOP: Goodwill opening new boutique concept!,2026-05-03,https://www.theconnecticutscoop.com/all-new-london-county-posts/colchester-scoop-goodwill-opening-new-boutique-concept,2026-05-04
GLASTONBURY SCOOP: The Shops at Somerset Square welcoming 5 new restaurants and a new tenant!,2026-05-02,https://www.theconnecticutscoop.com/all-hartford-county-posts/glastonbury-scoop-the-shops-at-somerset-square-welcoming-5-new-restaurants-and-a-new-tenant,2026-05-04
SEYMOUR SCOOP: Big Dipper celebrates grand opening in Seymour,2026-05-02,https://www.theconnecticutscoop.com/all-new-haven-county-posts/seymour-scoop-big-dipper-celebrates-grand-opening-in-seymour,2026-05-04
