state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,State,Number of Workers,WARN Received Date,Closure/Layoff,Temporary/Permanent,Union,Notes
Louisiana,Utz Quality Foods,Gramercy,,05/20/2022,,,Healthcare,Louisiana,59,05/13/2022,,,,
Louisiana,Baton Rouge International School,Baton Rouge,,07/31/2022,,,Education,Louisiana,70,04/08/2022,,,,
Louisiana,Crothall Healthcare,Kenner,,06/07/2022,,,Janitorial Services,Louisiana,61,04/07/2022,,,,
Louisiana,Morrison Healthcare Food Services,Monroe,,05/31/2022,,,Food Service Contractors,Louisiana,79,03/23/2022,,,,
Louisiana,"Ready Responders, Inc",New Orleans,,02/18/2022,,,Healthcare,Louisiana,12,03/10/2022,,,,
Louisiana,Watsonville Community Hospital,Watsonville,,01/28/2022,,,Hospital,Louisiana,1,11/26/2021,,,,
Louisiana,Phillips 66 Company - Alliance Refinery,Belle Chasse,,01/07/2022,,,Petroleum Refineries,Louisiana,470,11/08/2021,,,,
Louisiana,Odle Management Group,New Orleans,,12/25/2021,,,Vocational Rehabilitation Services,Louisiana,50,10/29/2021,,,,
Louisiana,Cleco Dolet Hills Power Station,Mansfield,,12/31/2021,,,Utilities,Louisiana,54,10/18/2021,,,,
Louisiana,Maison DeVille Nursing Home in Houma,Houma,,09/10/2021,,,Nursing Care Facilities,Louisiana,152,09/14/2021,,,,
Louisiana,Maison DeVille Nursing Home in Harvey,Harvey,,09/10/2021,,,Nursing Care Facilities,Louisiana,94,09/14/2021,,,,
Louisiana,St. Elizabeth's Caring,Harvey,,09/10/2021,,,Nursing Care Facilities,Louisiana,137,09/14/2021,,,,
Louisiana,Park Place Healthcare,Gretna,,09/10/2021,,,Nursing Care Facilities,Louisiana,137,09/14/2021,,,,
Louisiana,River Palms Nursing and Rehab,New Orleans,,09/10/2021,,,Nursing Care Facilities,Louisiana,158,09/14/2021,,,,
Louisiana,Maison Orleans Health Care Center,New Orleans,,09/10/2021,,,Nursing Care Facilities,Louisiana,178,09/14/2021,,,,
Louisiana,South Lafourche Nursing and Rehab,Cut Off,,09/10/2021,,,Nursing Care Facilities,Louisiana,107,09/14/2021,,,,
Louisiana,Stupp Corp,Baton Rouge,,11/06/2021,,,Manufacturing,Louisiana,45,09/08/2021,,,,
Louisiana,Railserve,Hahnville,,11/01/2021,,,Support Activities for Rail Transportation,Louisiana,66,08/26/2021,,,,
Louisiana,Centerra Group LLC,"Plaquemine, New Orleans, Hackberry",,07/31/2021,,,Security Services,Louisiana,108,06/21/2021,,,,
Louisiana,Lawrence D. Crocker College Prep,New Orleans,,05/28/2021,,,Education,Louisiana,65,03/09/2021,,,,
Louisiana,Arcosa Marine Products,Madisonville,,05/04/2021,,,Manufacturing,Louisiana,100,03/04/2021,,,,
Louisiana,University View Academy at Tallulah Charter School,Tallulah,,06/09/2021,,,Education,Louisiana,57,03/04/2021,,,,
Louisiana,Shell Convent Refinery,Convent,,03/01/2021,,,Petroleum Refineries,Louisiana,698,12/21/2020,,,,
Louisiana,Libbey Inc.,Shreveport,,12/31/2020,,,Manufacturing,Louisiana,369,12/15/2020,,,,
Louisiana,Isle of Capri Casino,Westlake,,02/01/2021,,,Casino,Louisiana,336,12/04/2020,,,,
Louisiana,Bristow U.S. LLC,Galliano,,01/17/2021,,,Nonscheduled Air Transportation,Louisiana,96,12/02/2020,,,,
Louisiana,Bristow U.S. LLC,New Iberia,,01/17/2021,,,Nonscheduled Air Transportation,Louisiana,80,12/02/2020,,,,
Louisiana,Community Development Institute Head Start,St. Martinville,,12/31/2020,,,Child Day Care Services,Louisiana,271,11/17/2020,,,,
Louisiana,Sodexo - Nicholls State,Thibodaux,,03/17/2020,,,Support Services,Louisiana,112,11/06/2020,,,,
Louisiana,Aviation Exteriors Louisiana,New Iberia,,11/06/2020,,,Support Activities for Air Transportation,Louisiana,48,11/05/2020,,,,
Louisiana,Oceans Behavioral Hospital,Lake Charles,,10/05/2020,,,Healthcare,Louisiana,50,10/06/2020,,,,
Louisiana,Calcasieu Refining Company,Lake Charles,,12/01/2020,,,Petroleum Refineries,Louisiana,69,10/02/2020,,,,
Louisiana,Omni Riverfront Hotel,New Orleans,,03/30/2020,,,Hospitality,Louisiana,83,10/01/2020,,,,
Louisiana,Lake Charles Memorial Health System,Lake Charles,,09/28/2020,,,Healthcare,Louisiana,205,09/29/2020,,,,
Louisiana,Calcasieu Refining Company,Lakes,,09/28/2020,,,Petroleum Refineries,Louisiana,69,09/29/2020,,,,
Louisiana,Menzies Aviation - MSY,Kenner,,11/23/2020,,,Scheduled Air Transportation,Louisiana,73,09/25/2020,,,,
Louisiana,Audubon Nature Institute,New Orleans,,09/24/2020,,,Zoos and Botanical Gardens,Louisiana,532,09/24/2020,,,,
Louisiana,ABM Inc,Kenner,,10/04/2020,,,Support Services,Louisiana,,09/22/2020,,,,
Louisiana,Freeman Audio Visual,New Orleans,,09/23/2020,,,Support Services,Louisiana,15,09/18/2020,,,,
Louisiana,Freeman Expositions,New Orleans,,09/23/2020,,,Support Services,Louisiana,41,09/18/2020,,,,
Louisiana,The Freeman Company,New Orleans,,09/23/2020,,,Support Services,Louisiana,4,09/18/2020,,,,
Louisiana,P.F. Chang's China Bistro,Metairie,,03/17/2020,,,Hospitality,Louisiana,75,09/18/2020,,,,
Louisiana,P.F. Chang's China Bistro,Baton Rouge,,03/17/2020,,,Hospitality,Louisiana,75,09/18/2020,,,,
Louisiana,Omni Royal Orleans,New Orleans,,03/19/2020,,,Hospitality,Louisiana,145,09/18/2020,,,,
Louisiana,Royal Sonesta New Orleans,New Orleans,,11/10/2020,,,Hospitality,Louisiana,235,09/17/2020,,,,
Louisiana,Pat O'Brien's,New Orleans,,09/30/2020,,,Hospitality,Louisiana,80,09/16/2020,,,,
Louisiana,Emeril's Restaurant,New Orleans,,03/17/2020,,,Hospitality,Louisiana,97,09/15/2020,,,,
Louisiana,Dave & Buster's,New Orleans,,11/08/2020,,,Entertainment,Louisiana,97,09/08/2020,,,,
Louisiana,Sheraton Hotel,New Orleans,,11/06/2020,,,Hospitality,Louisiana,170,09/03/2020,,,,
Louisiana,Ace Hotel New Orleans,New Orleans,,09/15/2020,,,Hospitality,Louisiana,88,09/01/2020,,,,
Louisiana,Live Nation Entertainment,New Orleans,,04/24/2020,,,Entertainment,Louisiana,84,09/01/2020,,,,
Louisiana,"Avis Budget Group BTR, MSY, LFT, LCH",Multiple,,04/01/2020,,,Rental Services,Louisiana,7,08/28/2020,,,,
Louisiana,H.N. Fernandez Inc.,New Orleans,,03/16/2020,,,Hospitality,Louisiana,145,08/27/2020,,,,
Louisiana,Stupp Coatings,Baton Rouge,,10/01/2020,,,Manufacturing,Louisiana,75,08/26/2020,,,,
Louisiana,Stupp Corporation,Baton Rouge,,10/24/2020,,,Manufacturing,Louisiana,300,08/24/2020,,,,
Louisiana,Stellar HLL MSY Venture,Elmwood,,10/15/2020,,,Retail,Louisiana,38,08/18/2020,,,,
Louisiana,Arcosa Marine Products,Madisonville,,10/13/2020,,,Manufacturing,Louisiana,66,08/14/2020,,,,
Louisiana,HMS Host,Kenner,,10/16/2020,,,Hospitality,Louisiana,301,08/13/2020,,,,
Louisiana,Hotel Monteleone,New Orleans,,10/25/2020,,,Hospitality,Louisiana,197,08/13/2020,,,,
Louisiana,Hyatt Regency,New Orleans,,03/22/2020,,,Hospitality,Louisiana,35,08/02/2020,,,,
Louisiana,The Roosevelt Hotel,New Orleans,,03/22/2020,,,Hospitality,Louisiana,124,08/01/2020,,,,
Louisiana,Hilton New Orleans Riverside,New Orleans,,03/23/2020,,,Hospitality,Louisiana,666,07/31/2020,,,,
Louisiana,Wyndham Vacation Ownership,New Orleans,,07/03/2020,,,Hospitality,Louisiana,108,07/30/2020,,,,
Louisiana,Transdev Inc.,New Orleans,,09/28/2020,,,Transportation,Louisiana,750,07/29/2020,,,,
Louisiana,Commander's Palace,New Orleans,,03/17/2020,,,Hospitality,Louisiana,240,07/24/2020,,,,
Louisiana,American Queen Steamboat Company,New Albany,,09/24/2020,,,Hospitality/Tourism,Louisiana,76,07/24/2020,,,,
Louisiana,Arnaud's/Remoulades,New Orleans,,03/17/2020,,,Hospitality,Louisiana,150,07/23/2020,,,,
Louisiana,BJ Services,Shreveport,,08/02/2020,,,Oil & Gas,Louisiana,273,07/19/2020,,,,
Louisiana,Archdiocese of New Orleans,New Orleans,,09/15/2020,,,Religious Organization,Louisiana,19,07/17/2020,,,,
Louisiana,Hilton Capital Center,Baton Rouge,,09/20/2020,,,Hospitality,Louisiana,93,07/17/2020,,,,
Louisiana,Boomtown New Orleans,Harvey,,09/15/2020,,,Casino,Louisiana,28,07/13/2020,,,,
Louisiana,Sodexo - UNO,New Orleans,,08/31/2020,,,Support Services,Louisiana,63,07/09/2020,,,,
Louisiana,United Airlines - MSY,Kenner,,10/01/2020,,,Airline,Louisiana,72,07/08/2020,,,,
Louisiana,Delaware North Companies,Kenner,,03/17/2020,,,Hospitality,Louisiana,270,06/30/2020,,,,
Louisiana,Hilton Shreveport,Shreveport,,06/05/2020,,,Hospitality,Louisiana,33,06/26/2020,,,,
Louisiana,Cypress Bayou Casino Hotel,Charenton,,07/01/2020,,,Casino,Louisiana,229,06/25/2020,,,,
Louisiana,The Freeman Company,New Orleans,,06/30/2020,,,Support Services,Louisiana,23,06/23/2020,,,,
Louisiana,"Xanitos, Inc",Metairie,,08/18/2020,,,Support Services,Louisiana,138,06/18/2020,,,,
Louisiana,Link Restaurant Group,New Orleans,,03/17/2020,,,Hospitality,Louisiana,312,06/17/2020,,,,
Louisiana,L'Auberge Casino Resort,Lake Charles,,08/15/2020,,,Casino,Louisiana,441,06/13/2020,,,,
Louisiana,Boomtown New Orleans,Harvey,,08/15/2020,,,Casino,Louisiana,197,06/12/2020,,,,
Louisiana,Margaritaville Resort Casino,Bossier City,,08/15/2020,,,Casino,Louisiana,347,06/12/2020,,,,
Louisiana,L'Auberge Casino Hotel,Baton Rouge,,08/15/2020,,,Casino,Louisiana,161,06/12/2020,,,,
Louisiana,The Higgins Hotel & Conference Center,New Orleans,,06/09/2020,,,Hospitality,Louisiana,132,06/09/2020,,,,
Louisiana,The Ritz-Carlton Hotel,New Orleans,,03/14/2020,,,Hospitality,Louisiana,423,06/05/2020,,,,
Louisiana,JW Marriot Hotel,New Orleans,,03/21/2020,,,Hospitality,Louisiana,142,06/05/2020,,,,
Louisiana,Hyatt Regency,New Orleans,,03/22/2020,,,Hospitality,Louisiana,343,06/05/2020,,,,
Louisiana,Georgia-Pacific Wood,Dequincy,,07/13/2020,,,Sawmills,Louisiana,188,06/04/2020,,,,
Louisiana,Sheraton Hotel,New Orleans,,03/13/2020,,,Hospitality,Louisiana,431,06/04/2020,,,,
Louisiana,New Orleans Marriot Hotel,New Orleans,,03/21/2020,,,Hospitality,Louisiana,474,06/04/2020,,,,
Louisiana,W French Quarter,New Orleans,,03/18/2020,,,Hospitality,Louisiana,84,06/04/2020,,,,
Louisiana,Downtown Marriot at the Convention Center,New Orleans,,03/21/2020,,,Hospitality,Louisiana,109,06/04/2020,,,,
Louisiana,NAPA Auto Parts Distribution Center,New Orleans,,07/31/2020,,,Automotive Parts & Accessories,Louisiana,70,06/01/2020,,,,
Louisiana,Hilton New Orleans Airport,Kenner,,05/22/2020,,,Hospitality,Louisiana,85,06/01/2020,,,,
Louisiana,NOPSI Hotel,New Orleans,,05/26/2020,,,Hospitality,Louisiana,92,06/01/2020,,,,
Louisiana,Loews Hotel,New Orleans,,05/27/2020,,,Hospitality,Louisiana,132,05/29/2020,,,,
Louisiana,Blake International Rings,Houma,,06/03/2020,,,Oil & Gas,Louisiana,105,05/28/2020,,,,
Louisiana,Le Meridian Hotel,New Orleans,,07/28/2020,,,Hospitality,Louisiana,112,05/28/2020,,,,
Louisiana,Crowne Plaza New Orleans,New Orleans,,05/18/2020,,,Hospitality,Louisiana,107,05/26/2020,,,,
Louisiana,Sam's Town Hotel & Casino,Shreveport,,07/01/2020,,,Casino,Louisiana,414,05/22/2020,,,,
Louisiana,Treasure Chest Casino,Kenner,,07/01/2020,,,Casino,Louisiana,340,05/22/2020,,,,
Louisiana,Amelia Belle Casino,Amelia,,07/01/2020,,,Casino,Louisiana,180,05/22/2020,,,,
Louisiana,Delta Downs Racetrack Casino and Hotel,Vinton,,07/01/2020,,,Casino,Louisiana,354,05/22/2020,,,,
Louisiana,Evangeline Downs Racetrack Casino,Opelousas,,07/01/2020,,,Casino,Louisiana,246,05/22/2020,,,,
