state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,State,Number of Workers,WARN Received Date,Closure/Layoff,Temporary/Permanent,Union,Notes
Kentucky,WAL-MART Store #4523,,,09/14/2018,,,Kentuckiana Works | Jefferson County - Louisville | 452111,Kentucky,96,07/12/2018,Closure,,,
Kentucky,WAL-MART Store #3841,,,09/14/2018,,,Kentuckiana Works | Jefferson County - Louisville | 452111,Kentucky,92,07/12/2018,Closure,,,
Kentucky,Dean Milk Co,,,09/07/2018,,,Kentuckiana Works | Jefferson County - Louisville | 112990,Kentucky,76,07/05/2018,Closure,,,
Kentucky,American Greetings Corp-Bardstown,,,09/07/2018,,,Lincoln Trail | Nelson County | 511191,Kentucky,275,07/03/2018,Closure,,,
Kentucky,Magic Mart Store #650,,,10/01/2018,,,EKCEP | Perry County | 452210,Kentucky,29,07/02/2018,Closure,,,
Kentucky,Magic Mart Store #960,,,10/01/2018,,,EKCEP | Pike County | 452210,Kentucky,31,07/01/2018,Closure,,,
Kentucky,Savers,,,08/12/2018,,,Kentuckiana Works | Jefferson County - Louisville | 453310,Kentucky,59,06/14/2018,Closure,,,
Kentucky,DNR Group LLC-Innovairre,,,08/02/2018,,,Kentuckiana Works | Jefferson County - Louisville | 323114,Kentucky,54,06/05/2018,Layoff,,,
Kentucky,ALBAAD USA INC,,,08/31/2018,,,Bluegrass | Jessamine County | 423450,Kentucky,104,05/31/2018,Closure,,,
Kentucky,THE BOEING COMPANY-Lexington,,,07/13/2018,,,Bluegrass | Fayette County,Kentucky,99,05/21/2018,Layoff,,,
Kentucky,Prairie Farms-Fulton,,,06/30/2018,,,Western Kentucky | Fulton County | 311500,Kentucky,52,05/01/2018,Closure,,,
Kentucky,CONIFER REVENUE CYCLE SOLUTIONS LLC,,,04/30/2018,,,Kentuckiana Works | Jefferson County - Louisville | 523930,Kentucky,128,03/01/2018,Layoff,,,
Kentucky,Flextronics Americas LLC,,,09/01/2018,,,Kentuckiana Works | Jefferson County - Louisville | 493110,Kentucky,314,02/23/2018,Layoff,,,
Kentucky,GILT Distribution Center,,,09/28/2018,,,Kentuckiana Works | Bullitt County | 454111,Kentucky,250,02/12/2018,Closure,,,
Kentucky,Abm Industries Inc./ABM Aviation,,,03/07/2018,,,Northern Kentucky | Kenton County | 488119,Kentucky,65,01/18/2018,Layoff,,,
Kentucky,American Greetings Corp-Bardstown,,,03/16/2018,,,Lincoln Trail | Nelson County | 511191,Kentucky,150,01/11/2018,Layoff,,,
Kentucky,KES Kentucky Electric Steel,,,03/10/2018,,,TENCO | Boyd County | 331513,Kentucky,113,01/09/2018,Closure,,,
Kentucky,Hopkins County Coal Madisonville Office,,,02/14/2018,,,Western Kentucky | Hopkins County | 213113,Kentucky,427,12/18/2017,Closure,,,
Kentucky,THOROUGHFARE MINING LLC,,,02/14/2018,,,Western Kentucky | Hopkins County | 21,Kentucky,99,12/18/2017,Closure,,,
Kentucky,Clarcor Air Filtration-Campbellsville,,,02/12/2018,,,Cumberlands | Taylor County | 333413,Kentucky,119,12/13/2017,Closure,,,
Kentucky,Scott Archery,,,01/10/2018,,,Bluegrass | Powell County | 339920,Kentucky,88,11/07/2017,Closure,,,
Kentucky,Arriva Medical LLC,,,12/31/2017,,,Northern Kentucky | Boone | 423450,Kentucky,13,10/31/2017,Closure,,,
Kentucky,Baptist Health Plan Inc-Lexington,,,12/29/2017,,,Bluegrass | Fayette County | 621999,Kentucky,34,10/30/2017,Layoff,,,
Kentucky,Equality Boot Surface Mine,,,12/08/2017,,,Green River | Ohio County | 212111,Kentucky,61,10/11/2017,Layoff,,,
Kentucky,Armstrong Coal Prep & Dock Facility,,,12/08/2017,,,Green River | Ohio County | 311612,Kentucky,12,10/11/2017,Layoff,,,
Kentucky,LATA SHARP REMEDIATION SERVICES LLC,,,10/19/2017,,,Western Kentucky | McCracken County | 562112,Kentucky,0,08/17/2017,Layoff,,,
Kentucky,Booth Energy,,,09/30/2017,,,EKCEP | Martin County | 1,Kentucky,217,08/02/2017,Closure,,,
Kentucky,"Engineered Plastic Components, Inc.",,,10/18/2017,,,Green River | Daviess County | 333249,Kentucky,68,07/18/2017,Closure,,,
Kentucky,Kmart 04232-Lexington,,,09/24/2017,,,Bluegrass | Fayette County | 45211,Kentucky,73,07/18/2017,Closure,,,
Kentucky,BIMBO BAKERIES USA INC,,,09/08/2017,,,Green River | Daviess County | 311811,Kentucky,111,07/10/2017,Closure,,,
Kentucky,LEDVANCE LLC-Winchester,,,09/01/2017,,,Bluegrass | Clark County | 33511,Kentucky,54,06/28/2017,Closure,,,
Kentucky,Charter Commuications -Lexington,,,07/17/2017,,,Bluegrass | Fayette County | 517911,Kentucky,56,05/24/2017,Layoff,,,
Kentucky,Itron Inc.,,,12/31/2017,,,Northern Kentucky | Owen County | 238220,Kentucky,309,05/05/2017,Closure,,,
Kentucky,General Electric Company- Lexington Lamp Plant,,,06/23/2017,,,Bluegrass | Fayette County | 335110,Kentucky,127,04/27/2017,Closure,,,
Kentucky,AmerisourceBergen Drug Corporation,,,06/30/2017,,,Western Kentucky | McCracken County | 325412,Kentucky,76,04/20/2017,Closure,,,
Kentucky,Ann Taylor Distribution Services,,,06/09/2017,,,Kentuckiana Works | Jefferson County - Louisville | 44812,Kentucky,105,04/07/2017,Closure,,,
Kentucky,"Benore Logistic Systems, Inc.",,,04/23/2017,,,EKCEP | Knox County | 493110,Kentucky,82,04/07/2017,Layoff,,,
Kentucky,Dollar Express-Covington,,,06/30/2017,,,Northern Kentucky | Kenton County | 45231,Kentucky,11,04/04/2017,Closure,,,
Kentucky,Dollar Express Louisville(2),,,06/30/2017,,,Kentuckiana Works | Jefferson County - Louisville | 45231,Kentucky,9,04/04/2017,Closure,,,
Kentucky,Dollar Express Louisville(1),,,06/30/2017,,,Kentuckiana Works | Jefferson County - Louisville | 45231,Kentucky,9,04/04/2017,Closure,,,
