state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes
Pennsylvania,"Saks & Company, LLC","25 Keystone Boulevard, Pottsville, PA 17901","beginning 5/3/26, ending 5/31/26","beginning 5/3/26, ending 5/31/26",435,Closing,County: Schuylkill
Pennsylvania,Federal Express Corporation,"1000 Sathers Drive, Pittston, PA  18640",5/2/26,5/2/26,63,Closing,County: Luzerne
Pennsylvania,Pittsburgh Post-Gazette,"300 Corliss Street, Pittsburgh, PA  15220",5/4/26,5/4/26,171,Closing,County: Allegheny
Pennsylvania,Liberty Home Choices,"112 North 8th Street, Suite 600, Philadelphia, PA  19107",5/24/26,5/24/26,615,Closing,County: Philadelphia
Pennsylvania,"PharmaCann, Inc.","111 Life Science Drive, Olyphant, PA 18447",5/20/26,5/20/26,60,Closing,County: Lackawanna
Pennsylvania,Bradford Regional Medical Center,"116 Interstate Parkway, Bradford, PA  16701",beginning 5/2/26; ending 5/17/26,beginning 5/2/26; ending 5/17/26,238,Closing,County: McKean
Pennsylvania,"Post Consumer Brands, LLC","6650 Low Street, Bloomsburg, PA  17815",5/1/2026,5/1/2026,11,Layoff,County: Columbia
Pennsylvania,"Green Leaf Medicals, LLC","1100 Horton Drive Saxton, PA  16678",4/18/2026,4/18/2026,52,Closure,County: Bedford
Pennsylvania,"Everett Foodliner, Inc. and Saxton Market, Inc.","Everett Foodliner, Inc.  - 64 Employees 250 W. Main Street Everett, PA  15537",,,,,County: Bedford
Pennsylvania,Saks Fifth Avenue,"250 Highland Park Boulevard, Wilkes Barre, PA  18702",beginning 4/11/2026; ending 4/30/2026,beginning 4/11/2026; ending 4/30/2026,155,Closure,County: Luzerne
Pennsylvania,Saks Fifth Avenue,"2 Bala Plaza, Bala Cynwyd, PA  19004",4/11/2026,4/11/2026,50,Closure,County: Montgomery
Pennsylvania,White Deer Run Allenwood,"360 White Deer Run Road, Allenwood, PA  17810",4/5/2026,4/5/2026,31,Layoff,County: Union
Pennsylvania,BPM Limited,"1300 Morris Drive, Chesterbrook, PA  19087",beginning 3/29/26; ending 9/30/26,beginning 3/29/26; ending 9/30/26,248,Layoff,County: Chester
Pennsylvania,Amazon Fresh,,4/28/26,4/28/26,983,Layoff,"County: Bucks, Delaware, Montgomery and Philadelphia"
Pennsylvania,BPM Limited,"1300 Morris Drive, Chesterbrook, PA 19087","Beginning 3/29/26, ending 9/30/26","Beginning 3/29/26, ending 9/30/26",148,Layoff,County: Chester
Pennsylvania,"ALPEK Polyester USA, LLC","4030 Pottsville Pike, Reading, PA 19605",3/15/26,3/15/26,100,Closing,County: Berks
Pennsylvania,French Creek Recovery Center,"535 Williamson Road, Meadville, PA  16335",3/15/26,3/15/26,59,Closing,County: Crawford
Pennsylvania,"PrimeFlight Aviation Services, Inc.","8500 Essington Avenue, Philadelphia, PA  19153 (Philadelphia International Airport)",3/9/26,3/9/26,68,Layoff,County: Philadelphia
Pennsylvania,"The GIANT Company, LLC.","216 East Fairmont Street Coopersburg, PA 18036",4/3/26,4/3/26,105,Closing,County: Montgomery
Pennsylvania,"AVI Foodsystems, Inc.","2400 Spruce Street & 1 Convention Avenue Philadelphia, PA 19104",2/1/26,2/1/26,297,Closing,County: Philadelphia
Pennsylvania,Miller’s Ale House,"9495 East Roosevelt Boulevard Philadelphia, PA 19114",3/30/26,3/30/26,49,Closing,County: Philadelphia
