state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes
New York,"Medical Care at Home, P.C.",,2026-04-27,2026-07-24,28,Closure,New York
New York,"Mizkan America, Inc.",,2026-02-10,2026-05-11,30,Layoff,Orleans
New York,Morgan Stanley,,2026-03-05,2026-05-27,7,Layoff,New York
New York,Morgan Stanley,,2026-03-05,2026-05-27,1,Layoff,New York
New York,Morgan Stanley,,2026-03-05,2026-05-27,2,Layoff,New York
New York,Morgan Stanley,,2026-03-05,2026-05-27,82,Layoff,New York
New York,Morgan Stanley,,2026-03-05,2026-05-27,120,Layoff,New York
New York,Morgan Stanley,,2026-03-05,2026-05-27,61,Layoff,New York
New York,Morgan Stanley,,2026-03-05,2026-05-27,1,Layoff,New York
New York,"NBCUniversal Media, LLC",,2026-03-13,2026-06-11,123,Closure,New York
New York,Nespresso,,2026-01-13,2026-04-13,46,Layoff,New York
New York,NeuLion USA LLC,,2026-03-17,2026-06-15,7,Layoff,New York
New York,"NHS U.S., LLC.",,2026-03-25,2026-07-03,31,Layoff,Suffolk
New York,"NY HEAT, LLC. (The Lambs Club)",,2026-03-11,2026-07-27,75,Layoff,New York
New York,"OceanFirst Bank, N.A.",,2026-05-11,2026-08-10,174,Layoff,Nassau
New York,"Oswego Beverage Company, LLC.",,2026-05-29,2026-08-28,59,Closure,Oswego
New York,"Oswego Beverage Company, LLC.",,2026-05-29,2026-08-28,42,Closure,Jefferson
New York,"PharmaCann, Inc.",,2026-03-20,2026-06-20,130,Closure,Orange
New York,Pinnacle Managing Co LLC,,2026-02-20,2026-04-30,64,Closure,New York
New York,"PT OPCO, LLC d/b/a Pink Taco",,2026-02-17,2026-02-18,36,Closure,New York
New York,"Recreational Equipment, Inc.",,2026-04-24,2026-07-23,72,Closure,New York
New York,Rising Ground Inc.,,2026-02-20,2026-05-21,43,Layoff,Queens
New York,Rising Ground Inc.,,2026-02-20,2026-05-21,27,Layoff,Westchester
New York,Rising Ground Inc.,,2026-02-20,2026-05-21,17,Layoff,Kings
New York,Rising Ground Inc.,,2026-02-20,2026-05-21,15,Layoff,New York
New York,Rising Ground Inc.,,2026-02-20,2026-05-21,29,Layoff,Westchester
New York,Rising Ground Inc.,,2026-02-20,2026-05-21,29,Layoff,Kings
New York,Rising Ground Inc.,,2026-02-20,2026-05-21,24,Layoff,Kings
New York,Rising Ground Inc.,,2026-02-20,2026-05-21,5,Layoff,New York
New York,Rising Ground Inc.,,2026-02-20,2026-05-21,68,Layoff,Bronx
New York,"Saint-Gobain Ceramics & Plastics, Inc. (Monofrax, LLC.)",,2026-05-27,2026-09-01,79,Layoff,Chautauqua
New York,Saks & Company LLC,,2026-04-30,2026-05-01,136,Closure,New York
New York,Saks & Company LLC,,2026-04-20,2026-05-01,24,Closure,New York
New York,Saks & Company LLC,,2026-04-30,2026-05-01,3,Closure,New York
New York,Saks & Company LLC,,2026-04-30,2026-05-01,2,Closure,Nassau
New York,Saks & Company LLC,,2026-04-30,2026-05-01,8,Closure,New York
New York,"Sardi's Enterprises, Ltd.",,2026-03-25,2026-06-24,62,Closure,New York
New York,"SDH Education West, LLC d/b/a Sodexo - Binghamton University",,2026-02-26,2026-05-31,3,Closure,Broome
New York,"SDH Education West, LLC d/b/a Sodexo - Binghamton University",,2026-02-26,2026-05-31,144,Closure,Broome
New York,"SDH Education West, LLC d/b/a Sodexo - Binghamton University",,2026-02-26,2026-05-31,542,Closure,Broome
New York,Seaport Entertainment Management LLC,,2026-02-23,2026-02-23,93,Closure,New York
New York,"Sparus Holdings, LLC. & Southern Cross, LLC",,2026-03-31,2026-06-30,19,Layoff,Westchester
New York,"Spirit Airlines, LLC",,2026-05-02,2026-05-02,186,Closure,New York
New York,The Children's Village,,2026-04-01,2026-06-30,200,Closure,Westchester
New York,The Coca-Cola Company,,2026-03-02,2026-05-31,41,Layoff,Queens
New York,The Rockefeller University,,2026-04-02,2026-06-30,27,Closure,New York
New York,The Rockefeller University Hospital,,2026-03-02,2026-05-31,41,Layoff,New York
New York,TL Cannon Management Corp. - Applebee's (Capital),,2026-01-12,2026-04-12,15,Closure,Schenectady
New York,Tourmaline Bio Inc.,,2026-02-19,2026-05-29,60,Closure,New York
New York,"Ultrepet, LLC. d/b/a Evergreen Recycling, LLC.",,2026-02-24,2026-02-24,59,Closure,Albany
New York,Unique Care Ltd,,2026-03-30,2026-06-30,59,Closure,New York
New York,"University of Rochester (Childrenâs Institute, Inc.)",,2026-03-27,2026-06-30,34,Layoff,Monroe
New York,"USIC Locating Services, LLC. d/b/a Reconn Utility Services",,2026-04-01,2026-04-06,29,Layoff,Suffolk
New York,"Van Trans, LLC.",,2026-05-15,2026-09-01,297,Layoff,Westchester
New York,VanDeMark Chemical Inc.,,2026-02-24,2026-05-25,69,Closure,Niagara
New York,Villa Mary Immaculate d/b/a St. Peterâs Nursing and Rehabilitation Center (SPNRC),,2026-03-06,2026-06-30,133,Closure,Albany
New York,Vimeo.com Inc.,,2026-01-20,2026-04-20,133,Layoff,New York
New York,"WP Company, LLC",,2026-02-04,2026-05-08,47,Layoff,New York
New York,"Plug Power, Inc.",125 Vista Blvd.,"March 25, 2025","June 23, 2025",261,Economic,Albany
New York,"Bedabox, LLC d/b/a ShipMonk",5 Inez Drive,"December 16, 2024",,67,,Suffolk
New York,"Interstate Hotels, LLC. d/b/a The Roosevelt Hotel",45 East 45th Street,"March 21, 2025",,96,,New York
New York,"CYH Manhattan, LLC. d/b/a The Stewart Hotel",371 7th Avenue,"March 14, 2025",,99,,New York
New York,"Nogin Commerce, LLC.","15 West 38th Street, Unit 501","March 16, 2025",,20,,New York
New York,International AIDS Vaccine Initiative,"125 Broad Street, 9th Floor","March 14, 2025","April 11, 2025",8,Funding Loss,New York
New York,"Mental Health Association of New York City, Inc. d/b/a Vibrant Emotional Health","2488 Grand Concourse, Floor 2","February 13, 2025",,36,,Bronx
New York,"Sumitomo Rubber USA., LLC",10 Sheridan Drive,"November 7, 2024",,1380,,Erie
New York,"Amscan Inc., a Party City Holdings, Inc.",47 Elizabeth Drive,"December 20, 2024",,524,,Orange
