state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,State,WARN Received Date,Closure/Layoff,Temporary/Permanent,Union,Region,Industry,Notes
Rhode Island,Pawtuxet Village Care & Rehabilitation Center,Cranston,,2012-06-11 00:00:00,150.0,,,Rhode Island,2012-04-12,Closure,,"North America AFL-CIO 410 South Main Street, Providence RI",,,
Rhode Island,"John Crane, Inc.",Cranston,,2012-04-01 00:00:00,70.0,,,Rhode Island,2012-01-31,Closure,,"Sealol Shop Union, 15 Pioneer Ave., Warwick RI 02888",,,
Rhode Island,Lowe’s Home Center,North Kingstown,,2011-10-17 00:00:00,110.0,,,Rhode Island,2011-10-17,Closure,,,,,
Rhode Island,WSI,Newport,,2011-10-30 00:00:00,16.0,,,Rhode Island,2011-09-02,Closure,,,,,
Rhode Island,Lockheed Martin Corp - Global Training & Logistics,Newport,,2011-09-30 00:00:00,9.0,,,Rhode Island,2011-08-03,Closure,,,,,
Rhode Island,BNY Mellon,Pawtucket,,10/28/2011-11/10/2011,98.0,,,Rhode Island,2011-08-01,Closure,,,,,
Rhode Island,Flextronics Americas LLC,"North Kingstown, Providence, Smithfield and Warwick",,,21.0,,,Rhode Island,2011-05-27,Closure,,,,,
Rhode Island,Bank of New York Mellon (BNY Mellon),Pawtucket,,6/6/2011-10/30/2011,98.0,,,Rhode Island,2011-04-01,Closure,,,,,
Rhode Island,Stanley Black & Decker,East Greenwich,,2011-04-11 00:00:00,5.0,,,Rhode Island,2011-02-15,Temporary,,,,,
Rhode Island,"Wal-Mart Stores, Inc. /Sam’s Club",Warwick,,2011-02-18 00:00:00,122.0,,,Rhode Island,2011-01-25,Temporary,,,,,
Rhode Island,Bank of America,Lincoln,,2010-10-01 00:00:00,89.0,,,Rhode Island,2010-08-23,Temporary,,,,,
Rhode Island,Stanley Works Nail Dept.,East Greenwich,,10/1/2010-12/17/2010,26.0,,,Rhode Island,2010-02-08,Temporary,,,,,
Rhode Island,Stanley Works Nail Dept.,East Greenwich,,2010-02-08 00:00:00,165.0,,,Rhode Island,2010-02-08,Temporary,,,,,
Rhode Island,The Ski Market,Warwick,,2010-02-01 00:00:00,8.0,,,Rhode Island,2010-01-04,Closure,,,,,
Rhode Island,Liz Clayborne,Lincoln,,4/19/2010-4/30/2010,103.0,,,Rhode Island,2009-11-24,Closure,,"NE Joint Board, Local 324, UNITE HERE",,,
Rhode Island,Leviton Mfg,Warwick,,1/20/2010-2/19/2010,66.0,,,Rhode Island,2009-11-24,Closure,,,,,
Rhode Island,Aramark,Providence,,2009-11-30 00:00:00,80.0,,,Rhode Island,2009-10-08,Temporary,,,,,
Rhode Island,A.T. Cross,Lincoln,,2009-12-01 00:00:00,63.0,,,Rhode Island,2009-10-05,Temporary,,,,,
Rhode Island,A.T. Cross,Lincoln,,2009-03-23 00:00:00,16.0,,,Rhode Island,2009-08-25,Temporary,,,,,
Rhode Island,Victoria & Company,East Providence,,2009-07-07 00:00:00,26.0,,,Rhode Island,2009-07-14,Closure,,,,,
Rhode Island,Portola,Woonsocket,,2009-03-23 00:00:00,130.0,,,Rhode Island,2009-07-14,Closure,,,,,
Rhode Island,HGA Quest,Nationwide - RI,,2009-08-16 00:00:00,10.0,,,Rhode Island,2009-07-02,Temporary,,,,,
Rhode Island,Providence Public Library,Providence,,2009-06-30 00:00:00,171.0,,,Rhode Island,2009-04-29,Temporary,,"United Service & Allied Workers of RI 90 Printery St. Providence, RI 02904",,,
Rhode Island,First Student,Burrillville,,2009-06-30 00:00:00,55.0,,,Rhode Island,2009-04-15,Closure,,,,,
Rhode Island,A.T. Cross,Lincoln,,2009-03-23 00:00:00,14.0,,,Rhode Island,2009-03-23,Temporary,,,,,
Rhode Island,Honeywell,Pawtucket,,2009-05-10 00:00:00,29.0,,,Rhode Island,2009-03-10,Closure,,,,,
Rhode Island,Victoria & Company,East Providence,,2009-05-08 00:00:00,71.0,,,Rhode Island,2009-03-09,Temporary,,,,,
Rhode Island,APC by Schneider Electric,West Warwick,,2009-05-02 00:00:00,54.0,,,Rhode Island,2009-03-06,Closure,,,,,
Rhode Island,Leviton Mfg,Warwick,,2009-05-10 00:00:00,119.0,,,Rhode Island,2009-03-05,Closure,,,,,
Rhode Island,"Colibri Group, Inc.",East Providence and Providence,,2009-01-15 00:00:00,270.0,,,Rhode Island,2009-02-20,Closure,,,,,
Rhode Island,Bank of America,Lincoln,,2009-01-08 00:00:00,121.0,,,Rhode Island,2009-01-12,Temporary,,,,,
