state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,Processed Date,Layoff/ Closure,Address
California,Conduent,Orange County,06/26/2026,08/28/2026,51,,54 Professional Scientific and Technical Services,2026-07-14 00:00:00,Layoff Permanent,"11165 Knott Avenue, Suite D  Cypress CA 90630"
California,"GMRI, Inc. dba Yard House",Orange County,07/14/2026,09/14/2026,78,,72 Accommodation and Food Services,2026-07-14 00:00:00,Closure Permanent,"1875 Newport Blvd., A219  Costa Mesa CA 92627"
California,"GXO Logistics Worldwide, LLC",San Bernardino County,07/10/2026,09/18/2026,46,,48-49 Transportation and Warehousing,2026-07-14 00:00:00,Closure Permanent,7010 Cajon Blvd.  San Bernardino CA 92407
California,"Udemy, Inc.",San Francisco County,07/14/2026,09/11/2026,28,,61 Educational Services,2026-07-14 00:00:00,Layoff Permanent,"600 Harrison Street, 3rd Floor  San Francisco CA 94107"
California,"AWCS, LLC (Cottonwood Post-Acute Rehab",Yolo County,07/13/2026,09/11/2026,158,,62 Healthcare and Social Assistance,2026-07-14 00:00:00,Closure Temporary,625 Cottonwood St.  Woodland CA 95695
California,"Coursera, Inc.",Santa Clara County,07/14/2026,09/11/2026,31,,54 Professional Scientific and Technical Services,2026-07-15 00:00:00,Layoff Permanent,"2440West El Camino Real, Suite 500  Mountain View CA 94040"
California,"ELC Beauty LLC (Too Faced Cosmetics, LLC)",Orange County,07/14/2026,09/30/2026,67,,44-45 Retail Trade,2026-07-15 00:00:00,Closure Permanent,18231 W. McDurmott #100  Irvine CA 92614
California,"Eargo, Inc.",Santa Clara County,07/15/2026,09/14/2026,57,,31-33 Manufacturing,2026-07-15 00:00:00,Closure Permanent,"2665 North First Street, Suite 3000  San Jose CA 95134"
California,Red Lobster Restaurants LLC,Santa Barbara County,07/14/2026,08/31/2026,37,,72 Accommodation and Food Services,2026-07-15 00:00:00,Closure Permanent,1525 S. Bradley Road  Santa Maria CA 93454
California,Phillips 66,Los Angeles County,07/16/2026,09/16/2026,5,,31-33 Manufacturing,2026-07-16 00:00:00,Closure Permanent,1660 W. Anaheim Street  Wilmington CA 90744
California,"NBCUniversal Media, LLC - 1320",Los Angeles County,07/17/2026,08/28/2026,3,,71 Arts Entertainment and Recreation,2026-07-17 00:00:00,Layoff Permanent,"100 Universal City Plaza, Bldg. 1320  Universal City CA 91608"
California,"NBCUniversal Media, LLC - 1360",Los Angeles County,07/17/2026,08/28/2026,5,,71 Arts Entertainment and Recreation,2026-07-17 00:00:00,Layoff Permanent,"100 Universal City Plaza, Bldg. 1360  Universal City CA 91608"
California,"NBCUniversal Media, LLC -1440",Los Angeles County,07/17/2026,08/28/2026,87,,71 Arts Entertainment and Recreation,2026-07-17 00:00:00,Layoff Permanent,"100 Universal City Plaza, Bldg. 1440  Universal City CA 91608"
California,"NBCUniversal Media, LLC - 1460",Los Angeles County,07/17/2026,08/28/2026,55,,71 Arts Entertainment and Recreation,2026-07-17 00:00:00,Layoff Permanent,"100 Universal City Plaza, Bldg. 1460  Universal City CA 91608"
California,"Aramark Campus, LLC",San Bernardino County,07/16/2026,07/31/2026,94,,72 Accommodation and Food Services,2026-07-17 00:00:00,Layoff Permanent,1259 E Colton Avenue  Redlands CA 92374
California,"Monterey Mushrooms, LLC",Santa Clara County,07/17/2026,09/20/2026,253,,11 Agriculture Forestry Fishing Hunting,2026-07-17 00:00:00,Layoff Permanent,642 Hale Ave.  Morgan Hill CA 95037
California,Ventura Coastal,Tulare County,07/15/2026,09/18/2026,71,,31-33 Manufacturing,2026-07-17 00:00:00,Layoff Temporary,531 W. Poplar Avenue  Tipton CA 93272
California,"Magic Leap, Inc.",Santa Clara County,07/17/2026,10/01/2026,76,,54 Professional Scientific and Technical Services,2026-07-20 00:00:00,Layoff Permanent,1376 Bordeaux Dr.  Sunnyvale CA 94089
California,Wind & Sea Restaurant,Orange County,07/14/2026,09/15/2026,198,,72 Accommodation and Food Services,2026-07-20 00:00:00,Closure Permanent,34699 Golden Lantern  Dana Point CA 92629
California,"DesigneRX Pharmaceuticals, Inc.",Solano County,07/20/2026,09/21/2026,25,,54 Professional Scientific and Technical Services,2026-07-20 00:00:00,Layoff Permanent,"4941 Allison Parkway, Suite B  Vacaville CA 95688"
California,Queen City Staffing,Sonoma County,07/14/2026,09/13/2026,49,,56 Administrative and Support and Waste Management and Remediation,2026-07-20 00:00:00,Closure Permanent,2717 Giffen Avenue  Santa Rosa CA 95407
