state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,source_entry_url
Georgia,Comcast,,10/15/2025,,240,,GA202500039,https://www.tcsg.edu/warn-public-view/entry/78621/
Georgia,RATP Dev USA Inc,,10/22/2025,,80,,GA202500040,https://www.tcsg.edu/warn-public-view/entry/78878/
Georgia,Saddle Creek Logistics Services,,10/27/2025,,128,,GA202500043,https://www.tcsg.edu/warn-public-view/entry/78950/
Georgia,"Mannington Mills, Inc.",,10/29/2025,,211,,GA202500045,https://www.tcsg.edu/warn-public-view/entry/79013/
Georgia,The William Carter Company,,10/30/2025,,189,,GA202500046,https://www.tcsg.edu/warn-public-view/entry/79042/
Georgia,"Integrated Health Resources, LLC",,10/31/2025,,107,,GA202500047,https://www.tcsg.edu/warn-public-view/entry/79057/
Georgia,"West Fraser, Inc.",,11/06/2025,,130,,GA202500050,https://www.tcsg.edu/warn-public-view/entry/79125/
Georgia,"Lehigh Technologies, Inc.",,11/10/2025,,55,,GA202500049,https://www.tcsg.edu/warn-public-view/entry/79173/
Georgia,Smurfit Westrock,,11/10/2025,,55,,GA202500048,https://www.tcsg.edu/warn-public-view/entry/79175/
Georgia,General Motors LLC,,11/10/2025,,325,,GA202500044,https://www.tcsg.edu/warn-public-view/entry/79177/
Georgia,"SimplyIOA, LLC",,11/10/2025,,65,,GA202500041,https://www.tcsg.edu/warn-public-view/entry/79182/
Georgia,"Baker & Taylor, LLC",,11/10/2025,,289,,GA202500037,https://www.tcsg.edu/warn-public-view/entry/79185/
Georgia,CoStar Group,,11/11/2025,,3,,GA202500051,https://www.tcsg.edu/warn-public-view/entry/79197/
Georgia,"SDH Service East,LLC",,11/14/2025,,67,,GA202500052,https://www.tcsg.edu/warn-public-view/entry/79251/
Georgia,"SDH Services EAST,LLC",,11/14/2025,,120,,GA202500053,https://www.tcsg.edu/warn-public-view/entry/79268/
Georgia,Urology Center of Columbus,,11/26/2025,,32,,GA202500055,https://www.tcsg.edu/warn-public-view/entry/79420/
Georgia,"Quad/Graphics, Inc.",,12/16/2025,,241,,GA202500057,https://www.tcsg.edu/warn-public-view/entry/79667/
Georgia,Comprehensive Logistics,,12/17/2025,,105,,GA202500058,https://www.tcsg.edu/warn-public-view/entry/79686/
Georgia,Gainesville Jaycees Vocational Rehabilitation Center,,12/22/2025,,19,,GA202500059,https://www.tcsg.edu/warn-public-view/entry/79723/
Georgia,"Railcrew Xpress, LLC",,12/22/2025,,55,,GA202500060,https://www.tcsg.edu/warn-public-view/entry/79729/
Georgia,The Coca-Cola Company,,12/30/2025,,75,,GA202500061,https://www.tcsg.edu/warn-public-view/entry/79755/
Georgia,Chemours,,01/05/2026,,54,,GA202500062,https://www.tcsg.edu/warn-public-view/entry/79799/
Georgia,"GXO Logistics Worldwide, LLC",,01/20/2026,,85,,GA202500066,https://www.tcsg.edu/warn-public-view/entry/80075/
Georgia,TTEC Services Corporation,,01/26/2026,,169,,GA202500067,https://www.tcsg.edu/warn-public-view/entry/80255/
Georgia,"TelaForce, LLC",,01/28/2026,,73,,GA202500065,https://www.tcsg.edu/warn-public-view/entry/80294/
Georgia,"S&S Activewear, LLC",,01/28/2026,,114,,GA202500056,https://www.tcsg.edu/warn-public-view/entry/80299/
Georgia,"Zeco Systems, Inc",,01/28/2026,,3,,GA202500021,https://www.tcsg.edu/warn-public-view/entry/80305/
Georgia,Kuehne-Nagel,,01/28/2026,,153,,GA202500068,https://www.tcsg.edu/warn-public-view/entry/80312/
Georgia,"Home Depot U.S.A, Inc.",,01/28/2026,,797,,GA202500069,https://www.tcsg.edu/warn-public-view/entry/80325/
Georgia,"Waddington North America, Inc. a Novolex entity",,01/28/2026,,49,,GA202500070,https://www.tcsg.edu/warn-public-view/entry/80342/
Georgia,"Continental Tire the Americas, LLC’s",,01/30/2026,,235,,GA202500071,https://www.tcsg.edu/warn-public-view/entry/80401/
Georgia,TLC of Georgia LLC,,01/31/2026,,78,,GA202500072,https://www.tcsg.edu/warn-public-view/entry/80420/
Georgia,KIPP Atlanta Schools,,02/04/2026,,122,,GA202500074,https://www.tcsg.edu/warn-public-view/entry/80494/
Georgia,"GMRI, Inc.",,02/05/2026,,78,,GA202500073,https://www.tcsg.edu/warn-public-view/entry/80513/
Georgia,Sumitomo Mitsui Banking Corporation,,02/05/2026,,3,,GA202500064,https://www.tcsg.edu/warn-public-view/entry/80515/
Georgia,"Tessera Therapeutics, Inc",,02/05/2026,,1,,GA202500063,https://www.tcsg.edu/warn-public-view/entry/80518/
Georgia,Big Tex Trailer Manufacturing LLC,,02/05/2026,,100,,GA202500054,https://www.tcsg.edu/warn-public-view/entry/80519/
Georgia,Aludyne Inc,,02/05/2026,,341,,GA202500010,https://www.tcsg.edu/warn-public-view/entry/80520/
Georgia,Liberty Dental Plan Corporation,,02/05/2026,,1,,GA202500075,https://www.tcsg.edu/warn-public-view/entry/80521/
Georgia,"WWL Vehicle Services Americas, Inc.",,02/09/2026,,65,,GA202500077,https://www.tcsg.edu/warn-public-view/entry/80552/
Georgia,Moove Cars Mobility Usa Corp,,02/10/2026,,83,,GA202500078,https://www.tcsg.edu/warn-public-view/entry/80578/
Georgia,"Impact Outsourcing Solutions VI, LLC",,02/13/2026,,76,,GA202500080,https://www.tcsg.edu/warn-public-view/entry/80648/
Georgia,Main Street Sports Group,,02/16/2026,,74,,GA202500081,https://www.tcsg.edu/warn-public-view/entry/80674/
Georgia,"ION Media Networks, Inc.",,02/16/2026,,53,,GA202500079,https://www.tcsg.edu/warn-public-view/entry/80687/
Georgia,IPIC Theaters LLC,,02/25/2026,,163,,GA202500082,https://www.tcsg.edu/warn-public-view/entry/80832/
Georgia,"MarketSource, Inc.",,02/26/2026,,57,,GA202500083,https://www.tcsg.edu/warn-public-view/entry/80853/
Georgia,"SK Battery America, Inc.",,03/06/2026,,958,,GA202500084,https://www.tcsg.edu/warn-public-view/entry/80976/
Georgia,C2 Technologies,,03/11/2026,,1,,GA202500086,https://www.tcsg.edu/warn-public-view/entry/81051/
Georgia,KPR US LLC,,03/11/2026,,213,,GA202500087,https://www.tcsg.edu/warn-public-view/entry/81054/
Georgia,The Hillshire Brands Company,,03/26/2026,,168,,GA202500089,https://www.tcsg.edu/warn-public-view/entry/81333/
Georgia,"Astemo Americas, Inc",,03/27/2026,,60,,GA202500090,https://www.tcsg.edu/warn-public-view/entry/81345/
Georgia,"Parsec, LLC",,03/31/2026,,179,,GA202500085,https://www.tcsg.edu/warn-public-view/entry/81383/
Georgia,Accenture,,03/31/2026,,54,,GA202500088,https://www.tcsg.edu/warn-public-view/entry/81384/
Georgia,Thrive SMP LLC,,03/31/2026,,497,,GA202500091,https://www.tcsg.edu/warn-public-view/entry/81391/
Georgia,Tri-Starr Management Services,,04/01/2026,,15,,GA202500092,https://www.tcsg.edu/warn-public-view/entry/81401/
Georgia,"SDH Education East, LLC",,04/09/2026,,74,,GA202500093,https://www.tcsg.edu/warn-public-view/entry/81497/
Georgia,SKF USA INC,,04/23/2026,,40,,GA202500094,https://www.tcsg.edu/warn-public-view/entry/81641/
Georgia,"Bridgestone Golf, Inc.",,05/01/2026,,84,,GA202500095,https://www.tcsg.edu/warn-public-view/entry/81816/
Georgia,Milliken & Company,,05/05/2026,,81,,GA202500098,https://www.tcsg.edu/warn-public-view/entry/81885/
Georgia,"MarketSource, Inc.",,05/05/2026,,51,,GA202500099,https://www.tcsg.edu/warn-public-view/entry/81889/
Georgia,Jacuzzi Inc.,,05/12/2026,,110,,GA202500100,https://www.tcsg.edu/warn-public-view/entry/82024/
Georgia,"Bitcoin Depot Operating, LLC",,05/18/2026,,109,,GA202500101,https://www.tcsg.edu/warn-public-view/entry/82153/
Georgia,"Inalfa Roof Systems, Inc",,05/19/2026,,127,,GA202500102,https://www.tcsg.edu/warn-public-view/entry/82177/
Georgia,Spirit Airlines,,05/29/2026,,653,,GA202500096,https://www.tcsg.edu/warn-public-view/entry/82413/
Georgia,Americold Logistics LLC,,05/29/2026,,69,,GA202500104,https://www.tcsg.edu/warn-public-view/entry/82414/
Georgia,Ideal US Talent Systems Worker OpCo LLC,,05/29/2026,,687,,GA202500097,https://www.tcsg.edu/warn-public-view/entry/82418/
Georgia,"SDH Services East, LLC",,06/01/2026,,70,,GA202500103,https://www.tcsg.edu/warn-public-view/entry/82458/
Georgia,Constellium Automotive USA LLC,,06/01/2026,,57,,GA202500105,https://www.tcsg.edu/warn-public-view/entry/82459/
Georgia,SMBC MANUBANK,,06/05/2026,,3,,GA202500106,https://www.tcsg.edu/warn-public-view/entry/82541/
Georgia,"Americold Logistics, LLC",,06/23/2026,,69,,GA202500107,https://www.tcsg.edu/warn-public-view/entry/82845/
Georgia,Conduent,,06/29/2026,,70,,GA202500108,https://www.tcsg.edu/warn-public-view/entry/82923/
