state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,NAICS  Code,Local Area,Total  Employees,Effective  Date
Maryland,Hendall Inc.,"1803 Research Blvd, Suite 300 Rockville, MD 20850",04/14/2026,,,"Mass Layoff - No RecallNote: Temporary, may become permanent",,541512,Montgomery County,50,06/10/2026
Maryland,Leidos,"3300 Lord Baltimore Drive Windsor Mill, MD 21244",04/06/2026,,,Mass Layoff - No Recall,,334413,Baltimore County,156,06/05/2026
Maryland,"Cox Automotive Corp Svc., LLC","4805 Philadelphia Road Belcamp, MD 21014",04/03/2026,,,Mass Layoff - No Recall,,423110,Susquehanna,70,06/05/2026
Maryland,Leidos,"6910 Cooper Ave Fort Meade, MD 20755",04/02/2026,,,Mass Layoff - No Recall,,541519,Anne Arundel,71,05/31/2026
Maryland,"Tyto Athene, LLC","6910 Cooper Ave Fort Meade, MD 20755",04/02/2026,,,Mass Layoff - No Recall,,541519,Anne Arundel,39,05/31/2026
Maryland,Legacy Supply Chain,"238 Belvidere Road Perryville, MD 21903",04/01/2026,,,Mass Layoff - No Recall,,493110,Susquehanna,21,06/06/2026
Maryland,General Dynamics Information Technology,"5601 Fishers Lane Rockville, MD 20852",04/01/2026,,,Mass Layoff - No Recall,,541330,Montgomery County,74,06/01/2026
Maryland,"*RESCINDED* Advanced Packaging, Inc.","4818 Seton Drive Baltimore, MD 21215",03/31/2026,,,Plant Closure,,326199,Baltimore City,18,06/01/2026
Maryland,Carnegie Institution for Science,"3520 San Martin Drive Baltimore, MD 21218",03/30/2026,,,Mass Layoff - No Recall,,541715,Baltimore City,15,06/30/2026
Maryland,General Dynamics Information Technology,"4600 Sangamore Road Bethesda, MD 20816",03/27/2026,,,Mass Layoff - No Recall,,541330,Montgomery County,21,05/29/2026
Maryland,"Maryland and Virginia Milk Producers Cooperative Association, Inc. d/b/a Maola","8321 Leishear Road Laurel, Maryland 20723",03/26/2026,,,Plant Closure,,311511,Howard County,72,06/01/2026 - 12/31/2026
Maryland,Evonik Corporation,"701 Fountain Street Havre De Grace, MD 21078",03/25/2026,,,Plant Closure,,325180,Susquehanna,34,06/30/2026 - 12/31/2026
